variance,skewness,curtosis,entropy,class
-5.5093,0.5666,0.1454,3.232,1
8.7358,-6.0469,3.7759,6.115,1
-5.6256,3.7145,2.6357,9.3762,0
6.6244,8.1344,1.2039,-7.6641,1
7.5105,7.5014,9.1917,7.0295,0
-5.0084,5.2325,6.7929,-9.6213,0
-1.1826,-5.2613,0.8066,2.2483,1
-0.5029,8.5052,-8.231,4.1729,0
9.3971,-1.9044,5.3506,2.6366,1
6.1884,0.559,-2.7153,-0.9004,0
8.8919,-4.0979,9.3089,-1.6418,0
4.2828,8.9185,0.2487,4.1941,1
0.3813,9.908,7.3763,1.6068,0
4.4493,1.4266,-0.0725,5.8772,1
-9.0041,6.1071,9.8357,6.4916,1
2.0537,-6.9633,-1.1889,-8.2109,1
6.8951,-7.7702,-2.1347,-3.1912,1
4.4707,4.542,-6.1582,-1.7099,1
8.0467,5.908,9.0502,5.2071,1
-1.6033,-2.663,3.8185,-6.8303,1
9.4946,-0.8609,-3.6925,3.7629,0
-6.1624,-4.1177,-6.4577,1.6012,0
8.5077,-1.1361,7.3477,4.4993,0
1.0677,9.2316,1.477,-2.2214,0
1.5415,4.7482,-9.3406,5.7681,0
0.6521,8.5668,7.6796,0.9259,0
-8.4914,0.9446,-1.3773,2.1712,1
6.9025,-8.5495,-6.5329,-0.9043,0
9.4721,8.3205,-7.4638,2.514,0
-8.3193,8.6032,8.6789,-0.4864,1
-2.809,1.4132,0.4157,-1.2977,0
4.6404,-0.5917,-7.2519,9.4461,1
9.8351,0.8965,6.1581,3.7259,1
-4.9066,8.4055,7.3218,-0.7969,0
2.838,-3.7061,-9.7896,-2.4371,0
4.6724,4.5081,-5.1252,0.5507,1
1.2956,6.1708,-4.6355,6.3335,1
-9.832,1.754,0.1117,4.9703,0
-6.7846,9.8882,-4.2589,-1.3279,0
-4.3639,5.6528,-1.2443,-5.9391,0
9.7738,0.8911,-8.5817,4.0148,1
8.8915,0.3896,1.7204,-8.9876,1
-5.7166,-5.5749,0.0527,4.168,0
-2.4611,4.9177,0.131,1.8155,0
-7.7697,-9.8728,-4.6201,9.684,0
1.849,3.1719,5.4954,8.3441,1
5.3018,9.6206,2.0484,2.7885,0
2.331,-9.4764,1.8666,0.9237,1
-7.5645,-1.0334,2.636,0.145,1
-3.3196,9.4438,3.9001,9.6329,0
5.112,6.6657,6.7367,-8.6308,0
7.376,0.6662,5.1525,-8.7035,0
-4.9364,8.4434,5.8387,-0.7263,1
2.509,-7.9524,1.9764,3.9602,0
-1.3564,9.1572,-9.1244,6.3532,0
-9.496,8.3041,-1.6152,-3.2226,1
-3.7372,-0.0555,8.7717,-8.0411,0
5.7226,-3.8418,-4.9557,1.1882,1
-8.8896,7.3717,4.2228,-2.255,0
0.7649,-6.4835,-0.8756,7.0514,1
-6.2016,-4.2352,-4.0901,-4.5447,0
6.0874,5.5542,3.1618,-7.5263,1
1.8883,2.8548,8.6545,9.8481,1
1.2113,-6.1829,-4.3892,6.4241,0
0.9821,2.4329,9.6859,-9.3015,1
-5.8343,-7.9781,-1.3369,2.4623,0
-4.8202,2.2388,-2.6471,-3.626,0
6.0957,1.3914,6.8507,0.4626,0
-2.9796,4.7179,-3.3198,-7.131,1
1.6855,5.298,5.9092,9.2579,1
-5.8529,-2.8163,9.6301,1.8872,0
8.1441,4.6353,-8.5039,-4.4183,1
6.4451,0.4439,-1.786,5.4953,1
-6.7813,-2.604,1.3895,-9.2641,1
5.1741,0.3327,9.9515,2.7951,0
-9.4694,5.2812,-3.3031,0.4772,0
-9.7594,0.6224,7.67,-1.1189,1
1.7179,7.8022,-4.7076,-9.1564,0
-2.1033,2.4121,-4.3549,-7.6286,0
-3.0142,2.2438,-4.7776,-6.9788,0
-6.4047,2.9968,-8.1779,-7.5099,0
-7.3718,4.7843,1.1239,4.9255,0
-9.7662,-1.0521,-1.479,-6.0328,0
-7.6396,7.5223,0.6318,3.4839,0
9.7931,2.3651,-3.7928,7.2127,0
-2.0772,-2.5273,3.1837,-5.8408,1
8.195,-3.9378,8.1826,-6.7575,0
-7.1632,-9.1066,-6.745,9.8377,0
4.21,3.9613,-7.4626,-4.8843,1
1.6285,5.5574,-3.3407,5.7323,1
2.4219,-7.7669,0.3326,4.6672,0
5.046,1.8044,2.1442,-8.8592,0
3.5336,8.9693,6.3374,6.9829,0
4.199,-7.3026,5.0748,1.9983,1
-5.2065,-5.7192,1.0714,8.2567,1
-0.3683,-3.0806,-6.3573,-5.4687,0
7.3993,-5.4579,0.6665,3.4056,1
-3.3124,2.9137,2.8902,6.2536,0
5.9175,-4.8536,3.9796,2.9471,0
1.5678,-6.9178,-2.1865,7.7698,1
5.5615,2.0985,2.4137,4.5066,0
0.9473,1.9379,6.8182,-2.4629,1
-6.5741,8.9545,3.3237,8.7561,0
-6.876,3.461,-1.8633,-2.2617,0
-5.1684,2.3292,2.3158,9.6136,1
3.458,-2.061,3.1191,9.6832,1
-4.4231,-5.0167,-2.555,-0.3213,0
2.7539,-6.161,-7.9595,-0.396,1
3.2083,-1.0842,-8.9816,7.8517,0
2.8561,-6.7657,8.5861,-5.8912,1
6.0042,-3.6955,1.9948,7.4231,0
4.471,-1.3514,-3.0439,4.9081,0
-2.468,-2.226,9.1685,-7.2217,0
-9.6421,3.6798,-4.798,-3.9377,0
-1.0885,-7.6065,3.5176,-9.4986,0
-9.5949,3.7176,7.9409,-6.3648,1
-8.9134,-1.2919,-6.7399,6.8954,0
0.229,4.2157,-5.378,-3.4317,0
3.9908,-0.4326,-4.5436,-0.2895,0
9.6987,6.5337,-8.6574,4.5083,1
-4.0388,7.4847,9.8963,7.6477,1
4.5207,-2.3007,9.6619,5.0732,0
2.3908,5.1951,7.6168,-2.6269,1
-4.4589,6.1054,8.9909,-7.1336,1
7.2533,-2.0217,0.2246,9.9369,0
-0.2493,-9.5374,5.7382,1.4253,1
-7.0531,5.5609,7.0361,-8.0059,0
6.4367,7.2501,8.3712,4.474,1
-4.0727,-4.4325,-8.0754,6.0899,1
-8.3042,4.9263,-9.4254,-7.1936,1
-0.2755,-1.9065,9.3061,-0.1647,0
-5.2132,3.5505,8.7392,-5.2289,1
-6.3707,3.2092,4.0732,3.5165,0
-9.4365,-6.6434,2.8822,-6.9298,1
-4.4937,-3.4264,-6.2914,7.0987,1
-4.6913,9.0088,-7.1766,-5.6951,1
-0.2341,2.5265,6.7852,-7.9822,1
1.5085,-8.8954,3.0491,7.0077,0
-0.8671,-5.4726,-8.4877,-5.7624,1
9.6064,3.7449,0.0621,3.7734,1
-2.6398,-0.9132,5.7819,-1.4738,0
-8.5229,5.6443,7.9819,9.4058,0
8.603,2.7824,-8.0547,-5.1847,0
8.8034,-3.3071,5.3641,-8.2638,0
4.8589,-8.1242,-4.8428,-2.6324,1
-8.7901,-4.5035,0.0983,5.2095,0
-2.1816,0.9344,-8.3902,-2.3932,0
-4.6041,8.0679,0.6219,-5.4569,1
0.3639,0.6506,-8.1785,-1.8162,1
-6.4807,0.464,-4.964,-8.0151,0
1.67,0.4809,-0.9058,3.7005,1
-3.2734,8.8835,3.5406,8.1876,1
5.7069,0.5714,5.3905,5.4434,1
-2.4787,-6.9146,2.0625,-7.2362,1
7.5218,-4.7976,-6.2881,1.003,1
1.0529,-0.8098,5.9769,-0.5667,0
0.8443,9.8443,7.2526,9.6637,0
0.9612,8.8987,-0.757,-2.5281,0
-2.2608,4.1779,-0.5387,7.4243,0
-7.7246,1.2439,-7.9507,6.2939,1
-5.398,2.6165,5.0062,3.8027,0
3.0514,-4.5435,6.401,9.6963,1
1.9268,9.0314,-0.9637,-1.8513,0
9.0121,-1.4751,5.6474,-0.7012,0
4.6322,-6.7023,-6.9171,-3.1594,0
-8.2442,-2.0812,-0.7743,8.7433,0
-4.5165,4.2296,8.3894,7.7681,0
-6.2609,-6.3471,0.5979,7.3684,0
-3.8914,4.3333,3.413,6.2817,1
6.8019,-1.6981,0.0808,6.0256,1
4.084,9.0862,3.9193,3.462,0
